MG[4],MG[3],MG[2],MG[1],MG[0],MG[1]
0.949443,0.953279,0.951628,0.944989,0.933949,0.919165
0.953279,0.951628,0.944989,0.933949,0.919165,0.901297
0.951628,0.944989,0.933949,0.919165,0.901297,0.880959
0.944989,0.933949,0.919165,0.901297,0.880959,0.858676
0.933949,0.919165,0.901297,0.880959,0.858676,0.834869
0.919165,0.901297,0.880959,0.858676,0.834869,0.809882
0.901297,0.880959,0.858676,0.834869,0.809882,0.784035
0.880959,0.858676,0.834869,0.809882,0.784035,0.757705
0.858676,0.834869,0.809882,0.784035,0.757705,0.731396
0.834869,0.809882,0.784035,0.757705,0.731396,0.705825
0.809882,0.784035,0.757705,0.731396,0.705825,0.682028
0.784035,0.757705,0.731396,0.705825,0.682028,0.661542
0.757705,0.731396,0.705825,0.682028,0.661542,0.646645
0.731396,0.705825,0.682028,0.661542,0.646645,0.64048
0.705825,0.682028,0.661542,0.646645,0.64048,0.646675
0.682028,0.661542,0.646645,0.64048,0.646675,0.668128
0.661542,0.646645,0.64048,0.646675,0.668128,0.705531
0.646645,0.64048,0.646675,0.668128,0.705531,0.756675
0.64048,0.646675,0.668128,0.705531,0.756675,0.816539
0.646675,0.668128,0.705531,0.756675,0.816539,0.878095
0.668128,0.705531,0.756675,0.816539,0.878095,0.934388
0.705531,0.756675,0.816539,0.878095,0.934388,0.980935
0.756675,0.816539,0.878095,0.934388,0.980935,1.0165
0.816539,0.878095,0.934388,0.980935,1.0165,1.0422
0.878095,0.934388,0.980935,1.0165,1.0422,1.06028
0.934388,0.980935,1.0165,1.0422,1.06028,1.07329
0.980935,1.0165,1.0422,1.06028,1.07329,1.08367
1.0165,1.0422,1.06028,1.07329,1.08367,1.09358
1.0422,1.06028,1.07329,1.08367,1.09358,1.10477
1.06028,1.07329,1.08367,1.09358,1.10477,1.11841
1.07329,1.08367,1.09358,1.10477,1.11841,1.13508
1.08367,1.09358,1.10477,1.11841,1.13508,1.15473
1.09358,1.10477,1.11841,1.13508,1.15473,1.17674
1.10477,1.11841,1.13508,1.15473,1.17674,1.20007
1.11841,1.13508,1.15473,1.17674,1.20007,1.22345
1.13508,1.15473,1.17674,1.20007,1.22345,1.24555
1.15473,1.17674,1.20007,1.22345,1.24555,1.26515
1.17674,1.20007,1.22345,1.24555,1.26515,1.28128
1.20007,1.22345,1.24555,1.26515,1.28128,1.29329
1.22345,1.24555,1.26515,1.28128,1.29329,1.30092
1.24555,1.26515,1.28128,1.29329,1.30092,1.30433
1.26515,1.28128,1.29329,1.30092,1.30433,1.30411
1.28128,1.29329,1.30092,1.30433,1.30411,1.3014
1.29329,1.30092,1.30433,1.30411,1.3014,1.29788
1.30092,1.30433,1.30411,1.3014,1.29788,1.2958
1.30433,1.30411,1.3014,1.29788,1.2958,1.29752
1.30411,1.3014,1.29788,1.2958,1.29752,1.30469
1.3014,1.29788,1.2958,1.29752,1.30469,1.31678
1.29788,1.2958,1.29752,1.30469,1.31678,1.3294
1.2958,1.29752,1.30469,1.31678,1.3294,1.33447
1.29752,1.30469,1.31678,1.3294,1.33447,1.325
1.30469,1.31678,1.3294,1.33447,1.325,1.30001
1.31678,1.3294,1.33447,1.325,1.30001,1.26336
1.3294,1.33447,1.325,1.30001,1.26336,1.22001
1.33447,1.325,1.30001,1.26336,1.22001,1.17386
1.325,1.30001,1.26336,1.22001,1.17386,1.12735
1.30001,1.26336,1.22001,1.17386,1.12735,1.08165
1.26336,1.22001,1.17386,1.12735,1.08165,1.03695
1.22001,1.17386,1.12735,1.08165,1.03695,0.992835
1.17386,1.12735,1.08165,1.03695,0.992835,0.948619
1.12735,1.08165,1.03695,0.992835,0.948619,0.903647
1.08165,1.03695,0.992835,0.948619,0.903647,0.857567
1.03695,0.992835,0.948619,0.903647,0.857567,0.810448
0.992835,0.948619,0.903647,0.857567,0.810448,0.76276
0.948619,0.903647,0.857567,0.810448,0.76276,0.715224
0.903647,0.857567,0.810448,0.76276,0.715224,0.668645
0.857567,0.810448,0.76276,0.715224,0.668645,0.623773
0.810448,0.76276,0.715224,0.668645,0.623773,0.581223
0.76276,0.715224,0.668645,0.623773,0.581223,0.541458
0.715224,0.668645,0.623773,0.581223,0.541458,0.504793
0.668645,0.623773,0.581223,0.541458,0.504793,0.471418
0.623773,0.581223,0.541458,0.504793,0.471418,0.441403
0.581223,0.541458,0.504793,0.471418,0.441403,0.414691
0.541458,0.504793,0.471418,0.441403,0.414691,0.391046
0.504793,0.471418,0.441403,0.414691,0.391046,0.370005
0.471418,0.441403,0.414691,0.391046,0.370005,0.350871
0.441403,0.414691,0.391046,0.370005,0.350871,0.332849
0.414691,0.391046,0.370005,0.350871,0.332849,0.31536
0.391046,0.370005,0.350871,0.332849,0.31536,0.2984
0.370005,0.350871,0.332849,0.31536,0.2984,0.282675
0.350871,0.332849,0.31536,0.2984,0.282675,0.269397
0.332849,0.31536,0.2984,0.282675,0.269397,0.260041
0.31536,0.2984,0.282675,0.269397,0.260041,0.256284
0.2984,0.282675,0.269397,0.260041,0.256284,0.260035
0.282675,0.269397,0.260041,0.256284,0.260035,0.273372
0.269397,0.260041,0.256284,0.260035,0.273372,0.298276
0.260041,0.256284,0.260035,0.273372,0.298276,0.336219
0.256284,0.260035,0.273372,0.298276,0.336219,0.387684
0.260035,0.273372,0.298276,0.336219,0.387684,0.451767
0.273372,0.298276,0.336219,0.387684,0.451767,0.525907
0.298276,0.336219,0.387684,0.451767,0.525907,0.605906
0.336219,0.387684,0.451767,0.525907,0.605906,0.686465
0.387684,0.451767,0.525907,0.605906,0.686465,0.762251
0.451767,0.525907,0.605906,0.686465,0.762251,0.829044
0.525907,0.605906,0.686465,0.762251,0.829044,0.884344
0.605906,0.686465,0.762251,0.829044,0.884344,0.927291
0.686465,0.762251,0.829044,0.884344,0.927291,0.958214
0.762251,0.829044,0.884344,0.927291,0.958214,0.978128
0.829044,0.884344,0.927291,0.958214,0.978128,0.988373
0.884344,0.927291,0.958214,0.978128,0.988373,0.990386
0.927291,0.958214,0.978128,0.988373,0.990386,0.98558
0.958214,0.978128,0.988373,0.990386,0.98558,0.975278
0.978128,0.988373,0.990386,0.98558,0.975278,0.960675
0.988373,0.990386,0.98558,0.975278,0.960675,0.94281
0.990386,0.98558,0.975278,0.960675,0.94281,0.922527
0.98558,0.975278,0.960675,0.94281,0.922527,0.900447
0.975278,0.960675,0.94281,0.922527,0.900447,0.876971
0.960675,0.94281,0.922527,0.900447,0.876971,0.852345
0.94281,0.922527,0.900447,0.876971,0.852345,0.82679
0.922527,0.900447,0.876971,0.852345,0.82679,0.800646
0.900447,0.876971,0.852345,0.82679,0.800646,0.774461
0.876971,0.852345,0.82679,0.800646,0.774461,0.749023
0.852345,0.82679,0.800646,0.774461,0.749023,0.725377
0.82679,0.800646,0.774461,0.749023,0.725377,0.704847
0.800646,0.774461,0.749023,0.725377,0.704847,0.689036
0.774461,0.749023,0.725377,0.704847,0.689036,0.679787
0.749023,0.725377,0.704847,0.689036,0.679787,0.679051
0.725377,0.704847,0.689036,0.679787,0.679051,0.688677
0.704847,0.689036,0.679787,0.679051,0.688677,0.710131
0.689036,0.679787,0.679051,0.688677,0.710131,0.744129
0.679787,0.679051,0.688677,0.710131,0.744129,0.790095
0.679051,0.688677,0.710131,0.744129,0.790095,0.84526
0.688677,0.710131,0.744129,0.790095,0.84526,0.903717
0.710131,0.744129,0.790095,0.84526,0.903717,0.957104
0.744129,0.790095,0.84526,0.903717,0.957104,0.99823
0.790095,0.84526,0.903717,0.957104,0.99823,1.02456
0.84526,0.903717,0.957104,0.99823,1.02456,1.03807
0.903717,0.957104,0.99823,1.02456,1.03807,1.04285
0.957104,0.99823,1.02456,1.03807,1.04285,1.04318
0.99823,1.02456,1.03807,1.04285,1.04318,1.04268
1.02456,1.03807,1.04285,1.04318,1.04268,1.04411
1.03807,1.04285,1.04318,1.04268,1.04411,1.04937
1.04285,1.04318,1.04268,1.04411,1.04937,1.05952
1.04318,1.04268,1.04411,1.04937,1.05952,1.07483
1.04268,1.04411,1.04937,1.05952,1.07483,1.09491
1.04411,1.04937,1.05952,1.07483,1.09491,1.11877
1.04937,1.05952,1.07483,1.09491,1.11877,1.1451
1.05952,1.07483,1.09491,1.11877,1.1451,1.17237
1.07483,1.09491,1.11877,1.1451,1.17237,1.19902
1.09491,1.11877,1.1451,1.17237,1.19902,1.2236
1.11877,1.1451,1.17237,1.19902,1.2236,1.24498
1.1451,1.17237,1.19902,1.2236,1.24498,1.2624
1.17237,1.19902,1.2236,1.24498,1.2624,1.27561
1.19902,1.2236,1.24498,1.2624,1.27561,1.28488
1.2236,1.24498,1.2624,1.27561,1.28488,1.29095
1.24498,1.2624,1.27561,1.28488,1.29095,1.29501
1.2624,1.27561,1.28488,1.29095,1.29501,1.29854
1.27561,1.28488,1.29095,1.29501,1.29854,1.3032
1.28488,1.29095,1.29501,1.29854,1.3032,1.31042
1.29095,1.29501,1.29854,1.3032,1.31042,1.32084
1.29501,1.29854,1.3032,1.31042,1.32084,1.33309
1.29854,1.3032,1.31042,1.32084,1.33309,1.3423
1.3032,1.31042,1.32084,1.33309,1.3423,1.34064
1.31042,1.32084,1.33309,1.3423,1.34064,1.32294
1.32084,1.33309,1.3423,1.34064,1.32294,1.29135
1.33309,1.3423,1.34064,1.32294,1.29135,1.2523
1.3423,1.34064,1.32294,1.29135,1.2523,1.21171
1.34064,1.32294,1.29135,1.2523,1.21171,1.17326
1.32294,1.29135,1.2523,1.21171,1.17326,1.13853
1.29135,1.2523,1.21171,1.17326,1.13853,1.10747
1.2523,1.21171,1.17326,1.13853,1.10747,1.07894
1.21171,1.17326,1.13853,1.10747,1.07894,1.05117
1.17326,1.13853,1.10747,1.07894,1.05117,1.02221
1.13853,1.10747,1.07894,1.05117,1.02221,0.990286
1.10747,1.07894,1.05117,1.02221,0.990286,0.954254
1.07894,1.05117,1.02221,0.990286,0.954254,0.913777
1.05117,1.02221,0.990286,0.954254,0.913777,0.869363
1.02221,0.990286,0.954254,0.913777,0.869363,0.822133
0.990286,0.954254,0.913777,0.869363,0.822133,0.7735
0.954254,0.913777,0.869363,0.822133,0.7735,0.724862
0.913777,0.869363,0.822133,0.7735,0.724862,0.677411
0.869363,0.822133,0.7735,0.724862,0.677411,0.632055
0.822133,0.7735,0.724862,0.677411,0.632055,0.589412
0.7735,0.724862,0.677411,0.632055,0.589412,0.549846
0.724862,0.677411,0.632055,0.589412,0.549846,0.513495
0.677411,0.632055,0.589412,0.549846,0.513495,0.480302
0.632055,0.589412,0.549846,0.513495,0.480302,0.450021
0.589412,0.549846,0.513495,0.480302,0.450021,0.422247
0.549846,0.513495,0.480302,0.450021,0.422247,0.396474
0.513495,0.480302,0.450021,0.422247,0.396474,0.372219
0.480302,0.450021,0.422247,0.396474,0.372219,0.349235
0.450021,0.422247,0.396474,0.372219,0.349235,0.327742
0.422247,0.396474,0.372219,0.349235,0.327742,0.30854
0.396474,0.372219,0.349235,0.327742,0.30854,0.292874
0.372219,0.349235,0.327742,0.30854,0.292874,0.282173
0.349235,0.327742,0.30854,0.292874,0.282173,0.27784
0.327742,0.30854,0.292874,0.282173,0.27784,0.281033
0.30854,0.292874,0.282173,0.27784,0.281033,0.292417
0.292874,0.282173,0.27784,0.281033,0.292417,0.312043
0.282173,0.27784,0.281033,0.292417,0.312043,0.339508
0.27784,0.281033,0.292417,0.312043,0.339508,0.374327
0.281033,0.292417,0.312043,0.339508,0.374327,0.416312
0.292417,0.312043,0.339508,0.374327,0.416312,0.465721
0.312043,0.339508,0.374327,0.416312,0.465721,0.523007
0.339508,0.374327,0.416312,0.465721,0.523007,0.588074
0.374327,0.416312,0.465721,0.523007,0.588074,0.659259
0.416312,0.465721,0.523007,0.588074,0.659259,0.73281
0.465721,0.523007,0.588074,0.659259,0.73281,0.803628
0.523007,0.588074,0.659259,0.73281,0.803628,0.86695
0.588074,0.659259,0.73281,0.803628,0.86695,0.919645
0.659259,0.73281,0.803628,0.86695,0.919645,0.960461
0.73281,0.803628,0.86695,0.919645,0.960461,0.989553
0.803628,0.86695,0.919645,0.960461,0.989553,1.00789
0.86695,0.919645,0.960461,0.989553,1.00789,1.01679
0.919645,0.960461,0.989553,1.00789,1.01679,1.01768
0.960461,0.989553,1.00789,1.01679,1.01768,1.01191
0.989553,1.00789,1.01679,1.01768,1.01191,1.00069
1.00789,1.01679,1.01768,1.01191,1.00069,0.985057
1.01679,1.01768,1.01191,1.00069,0.985057,0.965838
1.01768,1.01191,1.00069,0.985057,0.965838,0.943694
1.01191,1.00069,0.985057,0.965838,0.943694,0.91917
1.00069,0.985057,0.965838,0.943694,0.91917,0.892801
0.985057,0.965838,0.943694,0.91917,0.892801,0.865228
0.965838,0.943694,0.91917,0.892801,0.865228,0.83728
0.943694,0.91917,0.892801,0.865228,0.83728,0.809986
0.91917,0.892801,0.865228,0.83728,0.809986,0.784555
0.892801,0.865228,0.83728,0.809986,0.784555,0.762306
0.865228,0.83728,0.809986,0.784555,0.762306,0.744559
0.83728,0.809986,0.784555,0.762306,0.744559,0.732511
0.809986,0.784555,0.762306,0.744559,0.732511,0.72716
0.784555,0.762306,0.744559,0.732511,0.72716,0.729306
0.762306,0.744559,0.732511,0.72716,0.729306,0.739624
0.744559,0.732511,0.72716,0.729306,0.739624,0.758761
0.732511,0.72716,0.729306,0.739624,0.758761,0.787327
0.72716,0.729306,0.739624,0.758761,0.787327,0.82563
0.729306,0.739624,0.758761,0.787327,0.82563,0.872905
0.739624,0.758761,0.787327,0.82563,0.872905,0.925911
0.758761,0.787327,0.82563,0.872905,0.925911,0.977813
0.787327,0.82563,0.872905,0.925911,0.977813,1.01988
0.82563,0.872905,0.925911,0.977813,1.01988,1.04627
0.872905,0.925911,0.977813,1.01988,1.04627,1.0568
0.925911,0.977813,1.01988,1.04627,1.0568,1.05527
0.977813,1.01988,1.04627,1.0568,1.05527,1.04657
1.01988,1.04627,1.0568,1.05527,1.04657,1.03515
1.04627,1.0568,1.05527,1.04657,1.03515,1.02451
1.0568,1.05527,1.04657,1.03515,1.02451,1.01727
1.05527,1.04657,1.03515,1.02451,1.01727,1.01526
1.04657,1.03515,1.02451,1.01727,1.01526,1.01964
1.03515,1.02451,1.01727,1.01526,1.01964,1.03088
1.02451,1.01727,1.01526,1.01964,1.03088,1.04877
1.01727,1.01526,1.01964,1.03088,1.04877,1.0724
1.01526,1.01964,1.03088,1.04877,1.0724,1.10025
1.01964,1.03088,1.04877,1.0724,1.10025,1.13033
1.03088,1.04877,1.0724,1.10025,1.13033,1.16051
1.04877,1.0724,1.10025,1.13033,1.16051,1.1889
1.0724,1.10025,1.13033,1.16051,1.1889,1.21418
1.10025,1.13033,1.16051,1.1889,1.21418,1.23575
1.13033,1.16051,1.1889,1.21418,1.23575,1.25368
1.16051,1.1889,1.21418,1.23575,1.25368,1.26857
1.1889,1.21418,1.23575,1.25368,1.26857,1.28137
1.21418,1.23575,1.25368,1.26857,1.28137,1.29314
1.23575,1.25368,1.26857,1.28137,1.29314,1.30484
1.25368,1.26857,1.28137,1.29314,1.30484,1.31708
1.26857,1.28137,1.29314,1.30484,1.31708,1.32964
1.28137,1.29314,1.30484,1.31708,1.32964,1.34061
1.29314,1.30484,1.31708,1.32964,1.34061,1.34546
1.30484,1.31708,1.32964,1.34061,1.34546,1.33748
1.31708,1.32964,1.34061,1.34546,1.33748,1.31244
